"","recording","Source","Year","Date","Subpopulation..if.specified.","Province.State","Latitude","Longitude","Introductory.Notes..if.noted.","Terminal.Strophe.type","Recordist","file.name","max_min_ratio","log_max_min_ratio","min_max_ratio","note_number","mid_to_long_ratio","max_mean_int","min_mean_int","med_note_durs","long_note_durs","short_note_durs","max_note_dur","max_onset_interval_dur","max_mean_dur","min_mean_dur","min_max_dur_ratio","remainder","PC1","PC2","PC3","PC4","poetry","prob_assignment"
"189","ML66770","Macaulay Library",1960,"5/7/60","","Ontario",53.7586,-90.0764,"Ascending","Triplet","William Gunn","ML66770_terminal_strophes.wav",1.30285714285714,0.264559655030927,0.767543859649123,6,0.878205128205128,0.185315870570108,0.142238058551618,0.111352080123267,0.126795069337442,0.0739637904468413,0.130046224961479,0.276348228043143,0.104578839239856,0.103495120698511,0.989637305699482,0,-0.324435264198864,-0.754342751757645,0.614450421833976,-0.535933833197763,1,0.997328629533307
"190","ML66771","Macaulay Library",1960,"5/7/60","","Ontario",53.7586,-90.0764,"Ascending","Triplet","William Gunn","ML66771_terminal_strophes.wav",1.18840579710145,0.172612742666994,0.841463414634146,6,0.858895705521473,0.17777952952953,0.14959496996997,0.11382225975976,0.132521631006006,0.0788625656906907,0.141464808558558,0.260165165165165,0.112196227477477,0.104608076826827,0.932367149758455,0,-0.62200833295671,-0.644269208850987,0.2759725383909,-0.197759121183335,1,0.993135460303678
"191","ML66772","Macaulay Library",1960,"6/7/60","","Ontario",50.0978,-91.922,"Ascending","Triplet","William Gunn","ML66772_terminal_strophes.wav",1.46341463414634,0.380772495517792,0.683333333333334,6,0.94776119402985,0.195136778115501,0.133343465045593,0.103259878419453,0.108951367781155,0.0821200607902735,0.128465045592705,0.305714285714286,0.10515704154002,0.091063829787234,0.865979381443299,0,0.369972102861103,-1.10538168212164,0.878450885883173,-0.817926825367935,1,0.999917816669241
"192","ML66773","Macaulay Library",1960,"6/7/60","","Ontario",50.0978,-91.922,"Descending","Triplet","William Gunn","WTSP43.wav",1.20855614973262,0.189426382417699,0.827433628318584,6,0.835365853658537,0.183552190721649,0.151877255154639,0.111268363402062,0.133197164948454,0.0665985824742268,0.134821520618557,0.251775128865979,0.104500214776632,0.102875859106529,0.984455958549223,0,-0.806299226673265,-0.504559375112863,0.425224553051656,-0.222505082968376,1,0.984099909472239
"193","ML66774","Macaulay Library",1960,"6/7/60","","Ontario",49.4333,-94.0138,"Ascending","Triplet","William Gunn","ML66774_terminal_strophes.wav",1.42168674698795,0.351844016669067,0.703389830508475,6,0.918604651162791,0.191815265486726,0.134920907079646,0.128418694690265,0.139797566371681,0.0796521017699115,0.147925331858407,0.30072732300885,0.11703982300885,0.114872418879056,0.981481481481481,0,0.417768876023877,-0.819060049707392,0.603748610397089,-0.573707907850556,1,0.999619632602669
"194","ML66776","Macaulay Library",1960,"13/07/1960","","New York",44.3659,-73.9026,"Ascending","Triplet","William Gunn","ML66776_terminal_strophes.wav",1.05759162303665,0.0559942693545746,0.945544554455446,9,0.902325581395349,0.163396105664488,0.154498297930283,0.104616648511256,0.115941131082062,0.0776535947712419,0.118098175381264,0.268552015250545,0.103538126361656,0.0942358728213508,0.910156250000001,0,-0.976959985798592,-1.27760973125315,0.0564901533026424,-0.474592389075007,1,0.998995458452136
"195","ML66777","Macaulay Library",1960,"13/07/1960","","New York",44.3659,-73.9026,"Ascending","Triplet","William Gunn","ML66777_terminal_strophes.wav",1.45416666666667,0.374432998860436,0.687679083094556,6,0.888198757763976,0.189186415262889,0.13009954058193,0.1162764643951,0.130912662710567,0.095135289050536,0.143109494640122,0.294350210566616,0.117631667942828,0.11058460949464,0.940092165898617,0,0.267884936586932,-0.630254832175153,0.720296481670846,-0.621164780180362,1,0.998124577119439
"196","ML66778","Macaulay Library",1960,"14/07/1960","","New York",44.3659,-73.9026,"Ascending","Triplet","William Gunn","ML66778_terminal_strophes.wav",1.38924731182796,0.328762098195246,0.719814241486068,6,0.877551020408163,0.175144040854978,0.126071174918831,0.104923752029221,0.119564275568182,0.0788961546266234,0.122004362824675,0.274916497564935,0.101941423160173,0.100314698322511,0.984042553191489,0,-0.305721928381778,-0.716749546725548,0.902589233709635,-0.627814573184697,1,0.99721107287793
"197","ML66779","Macaulay Library",1960,"14/07/1960","","New York",44.3659,-73.9026,"Ascending","Triplet","William Gunn","ML66779_terminal_strophes.wav",1.35947712418301,0.307100158308882,0.735576923076923,6,0.98,0.169104669887279,0.124389492753623,0.119511473429952,0.121950483091787,0.0804873188405797,0.123576489533011,0.263413043478261,0.108942431561997,0.105690418679549,0.970149253731343,0,-0.251992352052672,-1.28408065512705,1.02982992123074,-0.195017531587037,1,0.999995151540472
"198","ML66780","Macaulay Library",1960,"14/07/1960","","New York",44.3659,-73.9026,"Ascending","Triplet","William Gunn","ML66780_terminal_strophes.wav",1.04726368159204,0.0461807450633605,0.954869358669834,9,0.831967213114754,0.170241607324517,0.162558494404883,0.109450661241099,0.131556459816887,0.087884028484232,0.15204476093591,0.310559511698881,0.109666327568667,0.109585452695829,0.999262536873156,0,-0.273545964827154,-0.783088412800057,-0.68052181311879,-0.812667687072211,1,0.982722158242268
"199","ML66781","Macaulay Library",1960,"17/07/1960","","Vermont",44.5437,-72.8143,"Ascending","Triplet","William Gunn","ML66781_terminal_strophes.wav",1.13932980599647,0.13044020005485,0.877708978328174,6,0.753424657534246,0.175147295891836,0.153728354134165,0.0894715288611545,0.118753120124805,0.072390600624025,0.125260140405616,0.211478159126365,0.0986898075923037,0.0883870254810193,0.895604395604396,0,-1.68916524707335,-0.0655093839096904,0.469342390339793,0.0372151910151289,1,0.736993070631467
"200","ML66783","Macaulay Library",1962,"10/6/62","","British Columbia",53.9171,-122.7497,"Ascending","Triplet","William Gunn","ML66783_terminal_strophes.wav",1.10486891385768,0.0997266979395701,0.905084745762712,6,0.675,0.16031103286385,0.145095070422535,0.0880352112676057,0.130422535211268,0.0717323943661972,0.13531338028169,0.208676056338028,0.0967300469483568,0.0967300469483568,1,0,-1.84400131789007,0.415151005420178,0.175324264455793,0.0168077827482834,3,0.7722736957303
