Newly assigned number,Position on other spreadsheet,Source,WTSP_updated,Recording ID (if noted),Year,Date,Subpopulation (if specified),Province/State,Latitude,Longitude,Introductory Notes (if noted),Terminal Strophe type,Recordist,,Begin time,Name_for_scoring
56,361,Xeno Canto,WTSP42,XC244590,2015,20/05/2015,,Quebec,45.3596,-73.7473,,Triplet,Maxime Aubert,Downloaded as mp3,,WTSP96
57,371,Xeno Canto,WTSP65,XC315745,2016,7/5/16,,Colorado,39.1647,-108.7473,,Doublet,Meredith Swett Walker,Downloaded as mp3,,WTSP97
58,372,Xeno Canto,WTSP4,XC319748,2016,2/6/16,,British Columbia,52.6146,-121.5135,,Doublet,Phil Ranson,Downloaded as mp3,,WTSP98
59,381,Xeno Canto,WTSP15,XC329879,2016,28/06/2016,,Saskatchewan,52.9551,-107.0927,,Doublet,John Patterson,Downloaded as mp3,,WTSP99
60,401,Xeno Canto,WTSP89,XC382121,2017,6/8/17,,Washington County,44.507,-67.8612,UpDown,Triplet,Sue Riffe,Downloaded as mp3,,WTSP100
,,Lab,WTSP84,Zonotrichia.albicollis_Apr72021_ECarringtonHallSpringfield_MDB_a,2021,NA,,Missouri,37.198587,-93.278143,,,MDB,,,
,,Lab,WTSP79,Zonotrichia.albicollis_Apr42021_1015SFremontAveSpringfield_JPM_a,2021,4/4/21,,Missouri,37.1959,-93.27139,,,JPM,,,
,,Lab,WTSP7,Zonotrichia.albicollis_Apr112021_LakeThunderbirdStateParkNorman_ZHV_a,2021,4/11/21,,Oklahoma,35.229334,-97.247234,,,ZHV,,,
,,Lab,WTSP17,Zonotrichia.albicollis_Apr32021_1337EDelmarStSpringfield_JPM_b,2021,4/3/21,,Missouri,37.195605,-93.272433,,,JPM,,,
,,Lab,WTSP12,Zonotrichia.albicollis_Apr112021_FassnightCreekSpringfield_AL_a,2021,4/11/21,,Missouri,NA,NA,,,AL,,,
,,Lab,WTSP8,Zonotrichia.albicollis_Apr42021_758SDelawareAveSpringfield_JPM_a,2021,4/4/21,,Missouri,37.200035,-93.266244,,,JPM,,,
,,Lab,WTSP45,Zonotrichia.albicollis_Apr112021_Springfield_SG_a,2021,4/11/21,,Missouri,NA,NA,,,SG,,,
,,Lab,WTSP28,Zonotrichia.albicollis_Apr192021_StCharles_SG_d,2021,4/19/21,,Missouri,38.8,-90.5,,,SG,,,
,,Lab,WTSP87,Zonotrichia.albicollis_Apr112021_LakeThunderbirdStateParkNorman_ZHV_c,2021,4/11/21,,Oklahoma,35.229334,-97.247234,,,ZHV,,,
,,Lab,WTSP72,Zonotrichia.albicollis_Apr52021_609WNormalStSpringfield_AL_a,2021,4/5/21,,Missouri,37.196296,-93.298089,,,AL,,,
,,Lab,WTSP88,Zonotrichia.albicollis_Apr42021_1246SDelawareAveSpringfield_JPM_c,2021,4/4/21,,Missouri,37.191278,-93.266543,,,JPM,,,
,,Lab,WTSP86,Zonotrichia.albicollis_Apr42021_1246SDelawareAveSpringfield_JPM_a,2021,4/4/21,,Missouri,37.191284,-93.266699,,,JPM,,,
,,Lab,WTSP21,Zonotrichia.albicollis_Apr42021_1246SDelawareAveSpringfield_JPM_b,2021,4/4/21,,Missouri,37.191284,-93.266699,,,JPM,,,
,,Lab,WTSP37,Zonotrichia.albicollis_Apr192021_StCharles_SG_c,2021,4/19/21,,Missouri,38.8,-90.5,,,SG,,,
,,Lab,WTSP19,Zonotrichia.albicollis_Apr32021_1337EDelmarStSpringfield_JPM_a,2021,4/3/21,,Missouri,37.195605,-93.272433,,,JPM,,,
,,Lab,WTSP85,Zonotrichia.albicollis_Apr112021_BennettSpringStateParkLebanon_SG_a,2021,4/11/21,,Missouri,37.7,-92.8,,,SG,,,
,,Lab,WTSP11,Zonotrichia.albicollis_Apr42021_800SFremontAveSpringfield_JPM_a,2021,4/4/21,,Missouri,37.200004,-93.270498,,,JPM,,,
,,Lab,WTSP14,Zonotrichia.albicollis_Apr72021_BlackForestApartmentsStLouis_EYN_a,2021,NA,,Missouri,38.468047,-90.31602,,,EYN,,,
,,Lab,WTSP82,Zonotrichia.albicollis_Apr192021_StCharles_SG_b,2021,4/19/21,,Missouri,38.8,-90.5,,,SG,,,
,,Lab,WTSP57,Zonotrichia.albicollis_Apr112021_634EMeadowmereStSpringfield_AL_a,2021,4/11/21,,Missouri,37.191259,-93.285914,,,AL,,,
,,Lab,WTSP80,Zonotrichia.albicollis_Mar272021_1200SGreenAveSpringfield_AL_a,2021,3/27/21,,Missouri,37.192767,-93.277267,,,AL,,,
,,Lab,WTSP23,Zonotrichia.albicollis_Apr42021_529WNormalStSpringfield_AL_a,2021,4/4/21,,Missouri,37.196038,-93.297403,,,AL,,,
,,Lab,WTSP16,Zonotrichia.albicollis_Apr92021_1344SFlorenceAveSpringfield_ARP_a,2021,4/9/21,,Missouri,37.189872,-93.277949,,,ARP,,,
,,Lab,WTSP9,Zonotrichia.albicollis_Apr112021_LakeThunderbirdStateParkNorman_ZHV_b,2021,4/11/21,,Oklahoma,35.229334,-97.247234,,,ZHV,,,
,,Lab,WTSP70,Zonotrichia.albicollis_Apr42021_1455EMeadowmereStSpringfield_JPM_a,2021,4/4/21,,Missouri,37.191003,-93.269599,,,JPM,,,
