"","file.name","max_min_ratio","log_max_min_ratio","min_max_ratio","note_number","mid_to_long_ratio","max_mean_int","min_mean_int","med_note_durs","long_note_durs","short_note_durs","max_note_dur","max_onset_interval_dur","max_mean_dur","min_mean_dur","min_max_dur_ratio"
"170","ML153175621_terminal_strophes_retrim2024.wav",2.06779661016949,0.726483600827537,0.483606557377049,6,0.863387978142076,0.296165748898678,0.143227698237885,0.127852973568282,0.148082874449339,0.115715033039648,0.231430066079295,0.305876101321586,0.204456864904552,0.0566437224669603,0.277044854881266
"171","ML153443091_terminal_strophes.wav",1.12820512820513,0.120627987788614,0.886363636363637,6,0.784313725490196,0.225639866979656,0.199998973004695,0.161942488262911,0.206476672535211,0.0477730340375587,0.21862235915493,0.280160504694836,0.144128814553991,0.133332648669797,0.925093632958801
"172","ML153826801_terminal_strophes.wav",1.01909307875895,0.0189130933064872,0.981264637002342,7,0.833756345177665,0.230136014602216,0.225824332829809,0.177048432779456,0.212350327291037,0.0784187122356495,0.22636329305136,0.29588916163142,0.171793570619335,0.153603663141994,0.894117647058823
"173","ML153826821_terminal_strophes.wav",1.16767676767677,0.155016106103687,0.856401384083045,9,0.778443113772456,0.233234660981697,0.199742486480865,0.139886993899057,0.179700984470327,0.0538026899611759,0.192075603161398,0.296990848585691,0.139779388519135,0.105318765599002,0.753464203233257
"174","ML154019221_terminal_strophes.wav",2.37068965517241,0.863180906560207,0.421818181818182,7,0.914754098360656,0.296470933263816,0.125056830031283,0.150391618873827,0.164406608446298,0.137454705422315,0.240950013034411,0.30725169447341,0.222757478493222,0.0592941866527633,0.266182698124622
"175","ML154043581_terminal_strophes.wav",1.00245098039216,0.00244798163864004,0.997555012224939,7,0.857712765957447,0.2204765625,0.2199375,0.17384765625,0.2026875,0.05579296875,0.21346875,0.29109375,0.160505859375,0.1417734375,0.883291351805206
"176","ML154323861_terminal_strophes.wav",2.49767441860465,0.915360066381202,0.400372439478585,7,0.803724928366762,0.289658157602664,0.115971143174251,0.151301886792453,0.188250832408435,0.135928967813541,0.278330743618202,0.300985571587125,0.23423473917869,0.0674250832408435,0.287852619458837
"177","ML155337671_terminal_strophes.wav",1.06874189364462,0.0664821563461428,0.935679611650485,6,0.779411764705882,0.22248,0.20817,0.17172,0.22032,0.0931500000000001,0.22356,0.28188,0.17928,0.14418,0.804216867469879
"178","ML158046011_terminal_strophes.wav",1.03157121879589,0.0310830950583882,0.969395017793594,12,0.930084745762711,0.226254145215021,0.21932964112659,0.176735889233798,0.190021274984858,0.0479079061932163,0.193241974560872,0.293083661417323,0.139563648293963,0.136879731980618,0.980769230769231
"179","ML158343781_terminal_strophes.wav",1.15126050420168,0.140857432716595,0.868613138686132,6,0.995901639344262,0.22210905448718,0.192926842948718,0.196979927884615,0.197790544871795,0.0518794871794871,0.202654246794872,0.296685817307692,0.151315170940171,0.146451469017094,0.967857142857143
"180","ML160302201_terminal_strophes.wav",1.08212560386473,0.0789272585896711,0.924107142857143,11,0.589641434262948,0.144985729499468,0.133982348242811,0.0598713391906283,0.101538554978701,0.0377567003904864,0.118124534078807,0.16505071884984,0.0725468028931487,0.0647257720979766,0.892193308550187
"181","ML160553361_terminal_strophes.wav",1.19686411149826,0.179704895902783,0.83551673944687,6,0.503355704697987,0.186578044596913,0.155889079473985,0.061106346483705,0.121397941680961,0.0309605488850772,0.143396226415094,0.195540308747856,0.0738707833047456,0.0684391080617496,0.926470588235294
"182","ML161672591_terminal_strophes.wav",1.13701067615658,0.128402604483844,0.879499217527386,6,0.410404624277457,0.173542024013722,0.152630074328188,0.0578473413379074,0.140951972555746,0.0496998284734134,0.158061749571184,0.19065180102916,0.0831046312178387,0.0825614636935392,0.993464052287582
"183","ML162376291_terminal_strophes.wav",2.32272727272727,0.842742043851343,0.430528375733855,7,0.945525291828794,0.275982482185273,0.118818289786223,0.131240201900238,0.138801365795724,0.121518705463183,0.218733669833729,0.298125890736342,0.18794893111639,0.056708729216152,0.301724137931035
"184","ML163314261_terminal_strophes.wav",1.46315789473684,0.380597041530152,0.683453237410071,6,0.901869158878505,0.225536211699164,0.154143454038997,0.156577298050139,0.173614206128134,0.0576009749303621,0.186594707520891,0.316399721448468,0.134672701949861,0.123855617455896,0.919678714859437
